('fe80::d69a:20ff:fe09:6980%en2', 51587, 0, 6) | test | b'!LOGOUT!'
('fe80::d69a:20ff:fe09:6980%en2', 51594, 0, 6) | test | b'?MAIL?'
('fe80::d69a:20ff:fe09:6980%en2', 51594, 0, 6) | test | b'?MAIL_UNREAD?'
('fe80::d69a:20ff:fe09:6980%en2', 51594, 0, 6) | test | b'?MAIL_MESSAGE_123?'
('fe80::d69a:20ff:fe09:6980%en2', 51594, 0, 6) | test | b'?MAIL?'
('fe80::d69a:20ff:fe09:6980%en2', 51594, 0, 6) | test | b'!LOGOUT!'
('fe80::d69a:20ff:fe09:6980%en2', 53581, 0, 6) | test | b'?MAIL?'
('fe80::d69a:20ff:fe09:6980%en2', 53581, 0, 6) | test | b'?MAIL_UNREAD?'
('fe80::d69a:20ff:fe09:6980%en2', 53581, 0, 6) | test | b'!LOGOUT!'
('fe80::d69a:20ff:fe09:6980%en2', 53600, 0, 6) | test | b'?MAIL?'
('fe80::d69a:20ff:fe09:6980%en2', 53600, 0, 6) | test | b'?MAIL_UNREAD?'
('fe80::d69a:20ff:fe09:6980%en2', 53600, 0, 6) | test | b'!LOGOUT!'
('fe80::d69a:20ff:fe09:6980%en2', 55267, 0, 6) | test | b'?MAIL?'
('fe80::d69a:20ff:fe09:6980%en2', 55267, 0, 6) | test | b'?LIST?'
('fe80::d69a:20ff:fe09:6980%en2', 55267, 0, 6) | test | b'?LIST_COMPUTER?'
('fe80::d69a:20ff:fe09:6980%en2', 55267, 0, 6) | test | b'?LIST_PROGRAM?'
('fe80::d69a:20ff:fe09:6980%en2', 55267, 0, 6) | test | b'?MAIL?'
('fe80::d69a:20ff:fe09:6980%en2', 55267, 0, 6) | test | b'!MAIL_SEND!'
('fe80::d69a:20ff:fe09:6980%en2', 57848, 0, 6) | admin | b'!LOGOUT!'
('fe80::d69a:20ff:fe09:6980%en2', 53428, 0, 7) | test | b'?LIST?'
('fe80::d69a:20ff:fe09:6980%en2', 53428, 0, 7) | test | b'?LIST_COMPUTER?'
('fe80::d69a:20ff:fe09:6980%en2', 53428, 0, 7) | test | b'?LIST?'
('fe80::d69a:20ff:fe09:6980%en2', 53428, 0, 7) | test | b'?LIST?'
('fe80::d69a:20ff:fe09:6980%en2', 53428, 0, 7) | test | b'?LIST?'
('fe80::d69a:20ff:fe09:6980%en2', 53428, 0, 7) | test | b'?LIST_PROGRAM?'
('fe80::d69a:20ff:fe09:6980%en2', 53428, 0, 7) | test | b'?LIST_PART?'
('fe80::d69a:20ff:fe09:6980%en2', 53428, 0, 7) | test | b'?MAIL?'
('fe80::d69a:20ff:fe09:6980%en2', 53428, 0, 7) | test | b'?MAIL_UNREAD?'
('fe80::d69a:20ff:fe09:6980%en2', 53428, 0, 7) | test | b'?MAIL_MESSAGE_228.02?'
('fe80::d69a:20ff:fe09:6980%en2', 53428, 0, 7) | test | b'?MAIL_UNREAD?'
('fe80::d69a:20ff:fe09:6980%en2', 53428, 0, 7) | test | b'?MAIL_READ?'
('fe80::d69a:20ff:fe09:6980%en2', 53428, 0, 7) | test | b'!LOGOUT!'
('fe80::d69a:20ff:fe09:6980%en2', 53482, 0, 7) | test | b'?MAIL?'
('fe80::d69a:20ff:fe09:6980%en2', 53482, 0, 7) | test | b'!MAIL_SEND!'
('fe80::d69a:20ff:fe09:6980%en2', 53486, 0, 7) | test | b'?MAIL?'
('fe80::d69a:20ff:fe09:6980%en2', 53486, 0, 7) | test | b'!MAIL_SEND!'
('fe80::d69a:20ff:fe09:6980%en2', 53486, 0, 7) | test | b':TO:sk@newbie.net'
('fe80::d69a:20ff:fe09:6980%en2', 53486, 0, 7) | test | b'!LOGOUT!'
('fe80::d69a:20ff:fe09:6980%en2', 53489, 0, 7) | test | b'?MAIL?'
('fe80::d69a:20ff:fe09:6980%en2', 53489, 0, 7) | test | b'!MAIL_SEND!'
('fe80::d69a:20ff:fe09:6980%en2', 53489, 0, 7) | test | b':TO:sk@newbie.net'
('fe80::d69a:20ff:fe09:6980%en2', 53489, 0, 7) | test | b'!MAIL_SEND!'
